,,,,,,
Player (248),Pos,Age,YOE,Prev Team,Prev AAV,Type
LeBron James,PF,41,23,LAL,"$50,677,999",UFA / Bird
Zach LaVine,SG,30.8,11,SAC,"$43,031,940",PLAYER / $49.0M
Trae Young,PG,27.2,7,ATL,"$43,031,940",PLAYER / $49.0M
James Harden,SG,36.3,15,LAC,"$40,750,000",PLAYER / $42.3M
C.J. McCollum,SG,34.2,13,WAS,"$32,000,000",UFA / Bird
Khris Middleton,SF,34.3,14,WAS,"$31,000,000",UFA / Bird
Kristaps Porzingis,PF,30.4,10,ATL,"$30,000,000",UFA / Bird
Isaiah Hartenstein,C,27.6,7,OKC,"$29,000,000",CLUB / $28.5M
Andrew Wiggins,SF,30.8,11,MIA,"$27,250,001",PLAYER / $30.2M
Tobias Harris,PF,33.4,15,DET,"$26,000,000",UFA / Early Bird
Fred VanVleet,PG,31.8,9,HOU,"$25,000,000",PLAYER / $25.0M
Draymond Green,PF,35.8,13,GSW,"$25,000,000",PLAYER / $27.7M
Anfernee Simons,SG,26.5,8,BOS,"$25,000,000",UFA / Bird
John Collins,PF,28.2,9,LAC,"$25,000,000",UFA / Bird
Terry Rozier,PG,31.8,11,MIA,"$24,064,674",UFA / Bird
Jonathan Kuminga,PF,23.2,4,GSW,"$23,400,000",CLUB / $24.3M
Kentavious Caldwell-Pope,SG,32.8,12,MEM,"$22,000,000",PLAYER / $21.6M
Nikola Vucevic,C,35.2,15,CHI,"$20,000,000",UFA / Bird
Harrison Barnes,PF,33.6,14,SAS,"$18,000,000",UFA / Bird
Norman Powell,SG,32.6,11,MIA,"$18,000,000",UFA / Bird
Collin Sexton,PG,26.9,8,CHA,"$17,737,500",UFA / Bird
Jusuf Nurkic,C,31.3,12,UTA,"$17,500,000",UFA / Bird
Zach Collins,C,28.1,9,CHI,"$17,410,848",UFA / Bird
Bogdan Bogdanovic,SG,33.3,8,LAC,"$17,000,000",CLUB / $16.0M
Rui Hachimura,PF,27.8,7,LAL,"$17,000,000",UFA / Bird
Luguentz Dort,SG,26.7,6,OKC,"$16,500,000",CLUB / $18.2M
Kevin Huerter,SG,27.3,8,CHI,"$16,250,000",UFA / Bird
Mitchell Robinson,C,27.8,8,NYK,"$15,000,000",UFA / Bird
Austin Reaves,SG,27.6,4,LAL,"$13,456,968",PLAYER / $14.9M
Kelly Olynyk,PF,34.7,13,SAS,"$13,125,000",UFA / Bird
Coby White,PG,25.8,7,CHI,"$12,000,000",UFA / Bird
Robert Williams III,C,28.2,8,POR,"$12,000,000",UFA / Bird
Matisse Thybulle,SG,28.8,7,POR,"$11,025,000",UFA / Bird
Moritz Wagner,C,28.7,8,ORL,"$11,000,000",UFA / Bird
Luke Kennard,SG,29.5,9,ATL,"$11,000,000",UFA / Non-Bird
Gabe Vincent,PG,29.5,7,LAL,"$11,000,000",UFA / Bird
Maxi Kleber,PF,33.9,9,LAL,"$11,000,000",UFA / Bird
Mike Conley,PG,38.2,19,MIN,"$10,375,000",UFA / Bird
Lonzo Ball,PG,28.2,8,CLE,"$10,000,000",CLUB / $10.0M
Pat Connaughton,SG,32.9,11,CHA,"$9,423,869",UFA / Bird
Brook Lopez,C,37.8,17,LAC,"$8,968,750",CLUB / $9.2M
Quentin Grimes,SG,25.6,5,PHI,"$8,741,209",UFA / Bird
Georges Niang,PF,32.5,10,BOS,"$8,500,000",UFA / Bird
Jaden Ivey,SG,23.8,4,DET,"$8,237,771",RFA / Bird
Kelly Oubre Jr.,SF,30,11,PHI,"$8,182,575",UFA / Bird
Deandre Ayton,C,27.4,7,LAL,"$8,104,000",PLAYER / $8.1M
Kevon Looney,C,29.8,10,NOP,"$8,000,000",CLUB / $8.0M
Simone Fontecchio,SF,30,4,MIA,"$8,000,000",UFA / Bird
Egor Demin,PG,19.8,1,BKN,"$7,835,171",RFA / Bird
Bennedict Mathurin,SG,23.5,4,IND,"$7,484,043",RFA / Bird
Tyus Jones,PG,29.6,11,ORL,"$7,000,000",UFA / Non-Bird
Ayo Dosunmu,PG,25.9,5,CHI,"$7,000,000",UFA / Bird
Kenrich Williams,PF,31.1,7,OKC,"$6,792,500",CLUB / $7.2M
Jevon Carter,PG,30.2,8,CHI,"$6,500,000",UFA / Bird
Ziaire Williams,SF,24.2,4,BKN,"$6,250,000",CLUB / $6.3M
Day'Ron Sharpe,C,24.1,4,BKN,"$6,250,000",CLUB / $6.3M
Dean Wade,PF,29.1,7,CLE,"$6,166,667",UFA / Bird
Cameron Thomas,SG,24.2,5,BKN,"$5,993,172",UFA / Bird
D'Angelo Russell,PG,29.8,10,DAL,"$5,827,125",PLAYER / $6.0M
Al Horford,C,39.5,18,GSW,"$5,827,125",PLAYER / $6.0M
Jett Howard,SG,22.2,3,ORL,"$5,793,195",UFA / Bird
Jeremy Sochan,PF,22.6,4,SAS,"$5,761,688",RFA / Bird
Nicolas Batum,SF,37,17,LAC,"$5,741,640",CLUB / $5.9M
Guerschon Yabusele,PF,30,3,NYK,"$5,637,500",PLAYER / $5.8M
Bradley Beal,SG,32.5,13,LAC,"$5,487,850",PLAYER / $5.6M
Haywood Highsmith,F,29,6,BKN,"$5,408,000",UFA / Bird
Dario Saric,PF,31.7,10,SAC,"$5,297,200",UFA / Early Bird
Ousmane Dieng,SF,22.6,4,OKC,"$5,266,551",RFA / Bird
Marcus Smart,PG,31.8,11,LAL,"$5,262,350",PLAYER / $5.4M
Kevin Porter Jr.,PG,25.6,5,MIL,"$5,262,350",PLAYER / $5.4M
Andre Drummond,C,32.3,14,PHI,"$5,000,000",UFA / Early Bird
Nick Richards,C,28.1,6,PHX,"$5,000,000",UFA / Bird
Jalen Duren,C,22.1,4,DET,"$4,868,736",RFA / Bird
Aaron Holiday,PG,29.2,8,HOU,"$4,784,700",UFA / Bird
Ochai Agbaji,SF,25.7,4,TOR,"$4,681,591",RFA / Bird
Mark Williams,C,24,4,PHX,"$4,500,253",RFA / Bird
Jose Alvarado,PG,27.7,4,NOP,"$4,500,000",PLAYER / $4.5M
Tari Eason,PF,24.6,4,HOU,"$4,064,312",RFA / Bird
Kevin Love,C,37.2,18,UTA,"$4,000,000",UFA / Bird
Dwight Powell,C,34.4,12,DAL,"$4,000,000",UFA / Bird
Nique Clifford,SF,23.8,1,SAC,"$3,942,450",RFA / Bird
Dalen Terry,SG,23.4,4,CHI,"$3,862,940",RFA / Bird
Jase Richardson,SG,20.2,1,ORL,"$3,827,141",RFA / Bird
Gary Trent Jr.,SG,26.9,7,MIL,"$3,789,533",PLAYER / $3.9M
Gary Harris,SG,31.2,11,MIL,"$3,725,007",PLAYER / $3.8M
Bismack Biyombo,C,33.3,15,SAS,"$3,634,153",UFA / Early Bird
Doug McDermott,SF,33.9,12,SAC,"$3,634,153",UFA / Early Bird
Chris Paul,PG,40.6,21,LAC,"$3,634,153",UFA / Non-Bird
Kyle Lowry,PG,39.8,20,PHI,"$3,634,153",UFA / Early Bird
Larry Nance Jr.,PF,33,11,CLE,"$3,634,153",UFA / Non-Bird
Tim Hardaway Jr.,SG,33.8,13,DEN,"$3,634,153",UFA / Non-Bird
Mason Plumlee,C,35.8,13,CHA,"$3,634,153",UFA / Non-Bird
Jeff Green,PF,39.3,19,HOU,"$3,634,153",UFA / Bird
Joe Ingles,SF,38.2,12,MIN,"$3,634,153",UFA / Early Bird
Garrett Temple,SG,39.6,16,TOR,"$3,634,153",UFA / Bird
Jordan Clarkson,SG,33.5,12,NYK,"$3,634,153",UFA / Non-Bird
DeAndre Jordan,C,37.4,18,NOP,"$3,571,495",UFA / Non-Bird
Taurean Prince,PF,31.8,9,MIL,"$3,559,818",PLAYER / $3.8M
Malaki Branham,SG,22.6,4,WAS,"$3,544,358",RFA / Bird
Jaxson Hayes,C,25.6,7,LAL,"$3,449,323",UFA / Bird
Russell Westbrook,PG,37.1,18,SAC,"$3,386,366",UFA / Non-Bird
Eric Gordon,SG,37,18,PHI,"$3,386,366",UFA / Early Bird
Walker Kessler,C,24.4,4,UTA,"$3,343,105",RFA / Bird
Gary Payton II,PG,33.1,10,GSW,"$3,303,774",UFA / Bird
Dante Exum,PG,30.4,10,DAL,"$3,303,774",UFA / Bird
Thomas Bryant,C,28.4,9,CLE,"$3,287,409",UFA / Non-Bird
Chris Boucher,PF,32.9,9,BOS,"$3,287,409",UFA / Non-Bird
De'Anthony Melton,SG,27.6,7,GSW,"$3,266,350",PLAYER / $3.5M
Landry Shamet,SG,28.8,8,NYK,"$3,080,921",UFA / Bird
Josh Okogie,SG,27.3,8,HOU,"$3,080,921",UFA / Non-Bird
Marvin Bagley III,PF,26.8,8,WAS,"$3,080,921",UFA / Non-Bird
Drew Eubanks,C,28.9,8,SAC,"$3,080,921",UFA / Non-Bird
Bruce Brown Jr.,SG,29.3,8,DEN,"$3,080,921",UFA / Non-Bird
Julian Champagnie,SF,24.5,3,SAS,"$3,000,000",CLUB / $3.0M
Wendell Moore Jr.,SG,24.4,4,DET,"$2,959,891",RFA / Two-Way
Thanasis Antetokounmpo,SF,33.4,7,MIL,"$2,874,436",RFA / Non-Bird
Amir Coffey,SG,28.5,7,MIL,"$2,874,436",UFA / Non-Bird
Javonte Green,SG,32.4,7,DET,"$2,874,436",UFA / Non-Bird
Jordan McLaughlin,PG,29.7,7,SAS,"$2,874,436",UFA / Early Bird
Ariel Hukporti,C,23.7,2,NYK,"$2,872,666",RFA / Early Bird
Peyton Watson,SG,23.2,4,DEN,"$2,816,879",RFA / Bird
Seth Curry,SG,35.3,13,GSW,"$2,777,830",UFA / Non-Bird
Anthony Gill,PF,33.2,6,WAS,"$2,667,947",UFA / Bird
Cole Anthony,PG,25.6,6,MIL,"$2,667,947",UFA / Non-Bird
Jaeâ€™Sean Tate,SF,30.2,6,HOU,"$2,667,947",UFA / Bird
Trendon Watford,PF,25.1,4,PHI,"$2,631,405",CLUB / $2.8M
Sandro Mamukelashvili,C,26.6,4,TOR,"$2,631,405",PLAYER / $2.8M
Jericho Sims,C,27.2,4,MIL,"$2,631,405",PLAYER / $2.8M
Josh Minott,SF,23.1,3,BOS,"$2,481,705",CLUB / $2.6M
Nah'Shon Hyland,PG,25.2,5,MIN,"$2,461,463",UFA / Early Bird
Lindy Waters III,SF,28.4,5,SAS,"$2,461,463",UFA / Non-Bird
Jock Landale,C,30.2,5,MEM,"$2,461,463",UFA / Non-Bird
Precious Achiuwa,PF,26.2,6,SAC,"$2,453,285",UFA / Non-Bird
Xavier Tillman,C,26.9,6,BOS,"$2,392,183",UFA / Bird
Blake Wesley,SG,22.8,4,POR,"$2,378,870",UFA / Non-Bird
Collin Gillespie,PG,26.5,4,PHX,"$2,378,870",UFA / Early Bird
Keaton Wallace,G,26.8,3,ATL,"$2,296,274",RFA / Non-Bird
Vincent Williams Jr.,SF,25.3,3,MEM,"$2,286,085",CLUB / $2.5M
Vincent Williams Jr.,SF,25.3,4,MEM,"$2,286,085",UFA / Bird
N'Faly Dante,PF,24.2,2,ATL,"$2,229,792",RFA / Early Bird
Micah Potter,C,27.7,4,IND,"$2,164,576",CLUB / $2.8M
G.G. Jackson,PF,21,2,MEM,"$2,127,792",CLUB / $2.4M
Leonard Miller,SF,22.1,2,MIN,"$2,079,935",CLUB / $2.4M
Duop Reath,C,29.5,3,POR,"$2,073,892",RFA / Bird
Jalen Pickett,PG,26.2,2,DEN,"$2,056,971",CLUB / $2.4M
Caleb Houstan,SF,22.9,4,ATL,"$2,051,850",RFA / Two-Way
Nigel Hayes-Davis,PF,31,2,PHX,"$2,048,494",RFA / Non-Bird
Jonathan Mogbo,C,24.2,1,TOR,"$2,037,971",CLUB / $2.3M
Jamal Shead,PG,23.4,1,TOR,"$2,037,971",CLUB / $2.3M
Jamal Shead,PG,23.4,2,TOR,"$2,037,971",RFA / Bird
Julian Phillips,SF,22.1,2,CHI,"$2,029,935",CLUB / $2.4M
Craig Porter Jr.,G,25.8,2,CLE,"$2,004,935",CLUB / $2.4M
Jordan Walsh,SF,21.8,2,BOS,"$1,909,826",CLUB / $2.4M
Mouhamed Gueye,PF,23.1,2,ATL,"$1,909,826",CLUB / $2.4M
Andre Jackson Jr.,SG,24.1,2,MIL,"$1,909,826",CLUB / $2.4M
Trayce Jackson-Davis,PF,25.8,2,GSW,"$1,909,826",CLUB / $2.4M
Hunter Tyson,SF,25.5,2,DEN,"$1,909,826",CLUB / $2.4M
Mohamed Bamba,C,27.6,8,TOR,"$1,859,176",UFA / Non-Bird
Pelle Larsson,SG,24.8,1,MIA,"$1,802,934",CLUB / $2.3M
Karlo Matkovic,PF,24.8,1,NOP,"$1,802,934",CLUB / $2.3M
Rayan Rupert,SG,21.6,3,POR,"$1,744,366",RFA / Bird
Gui Santos,SF,23.5,3,GSW,"$1,714,339",RFA / Bird
Keon Ellis,SF,25.9,4,SAC,"$1,701,903",UFA / Bird
Jalen Wilson,PF,25.1,3,BKN,"$1,654,511",RFA / Bird
Tony Bradley,C,27.9,8,IND,"$1,635,635",UFA / Early Bird
Tyrese Martin,SF,26.8,3,BKN,"$1,413,875",RFA / Early Bird
Dominick Barlow,PF,22.6,4,PHI,"$1,381,311",UFA / Two-Way
Jaylen Clark,SG,24.2,3,MIN,"$1,342,110",RFA / Bird
Keshad Johnson,PF,24.5,2,MIA,"$1,340,130",RFA / Early Bird
Jordan Goodwin,PG,27.2,5,PHX,"$1,286,648",UFA / Early Bird
Mohamed Diawara,PF,20.7,1,NYK,"$1,272,870",RFA / Non-Bird
Quinten Post,C,25.8,2,GSW,"$1,197,149",RFA / Early Bird
Brandon Williams,PG,26.1,4,DAL,"$1,159,362",UFA / Bird
Isaac Jones,C,25.4,2,DET,"$1,054,167",RFA / Non-Bird
RayJ Dennis,PG,24.8,2,ATL,$0,RFA / Two-Way
Chaney Johnson,F,23.5,1,BKN,$0,RFA / Two-Way
Ethan Thompson,SG,26.6,2,IND,$0,RFA / Two-Way
Drew Timme,F,25.2,2,LAL,$0,RFA / Two-Way
Jamaree Bouyea,PG,26.5,4,PHX,$0,RFA / Two-Way
Jahmai Mashack,F,23.1,1,MEM,$0,RFA / Two-Way
Chris Livingston,SF,22.2,3,CLE,$0,RFA
A.J. Lawson,F,25.4,4,TOR,$0,RFA / Two-Way
Trentyn Flowers,F,20.8,2,CHI,$0,RFA / Two-Way
Alex Antetokounmpo,SF,24.2,1,MIL,$0,RFA / Two-Way
Pat Spencer,G,29.4,3,GSW,$0,RFA / Two-Way
Nick Smith Jr.,PG,21.7,3,LAL,$0,RFA / Two-Way
Chris Youngblood,SG,23.8,1,OKC,$0,RFA / Two-Way
Sharife Cooper,PG,24.5,3,WAS,$0,RFA / Two-Way
Ron Harper Jr.,SG,25.7,4,BOS,$0,UFA / Two-Way
Trey Jemison,PF,26.1,3,NYK,$0,RFA / Two-Way
Kevin McCullar Jr.,SG,24.8,2,NYK,$0,RFA / Two-Way
Johnny Juzang,SG,24.8,4,MIN,$0,UFA / Two-Way
Tosan Evbuomwan,SG,24.8,3,NYK,$0,RFA / Two-Way
Olivier-Maxence Prosper,PF,23.4,3,MEM,$0,RFA / Two-Way
E.J. Liddell,PF,25,4,BKN,$0,RFA / Two-Way
John Tonje,G,24.7,1,UTA,$0,RFA / Two-Way
Colin Castleton,PF,25.6,3,ORL,$0,RFA / Two-Way
Oscar Tshiebwe,PF,26.1,3,UTA,$0,RFA / Two-Way
Amari Williams,C,23.9,1,BOS,$0,RFA / Two-Way
Harrison Ingram,SF,23.1,2,SAS,$0,RFA / Two-Way
Daniss Jenkins,G,24.3,2,DET,$0,RFA / Two-Way
Enrique Freeman,PF,25.4,2,MIN,$0,RFA / Two-Way
Bryce McGowens,SG,23.1,4,NOP,$0,RFA / Two-Way
Daeqwon Plowden,G,27.3,2,SAC,$0,RFA / Two-Way
Max Shulga,G,23.5,1,BOS,$0,RFA / Two-Way
Jordan Miller,SF,25.9,3,LAC,$0,RFA / Two-Way
Isaiah Crawford,G,24.2,2,HOU,$0,RFA / Two-Way
J.D. Davison,PG,23.2,4,HOU,$0,RFA / Two-Way
Jamal Cain,SF,26.8,4,ORL,$0,RFA / Two-Way
Antonio Reeves,SG,25.1,2,CHA,$0,RFA / Two-Way
Myron Gardner,G,24.6,1,MIA,$0,RFA / Two-Way
Chris Manon,G,24,1,LAL,$0,RFA / Two-Way
Taelon Peter,G,23.8,1,IND,$0,RFA / Two-Way
David Jones-Garcia,SF,24.1,1,SAS,$0,RFA / Two-Way
Curtis Jones,G,24.2,1,DEN,$0,RFA / Two-Way
Orlando Robinson,C,25.4,4,ORL,$0,UFA / Non-Bird
Branden Carlson,C,26.5,2,OKC,$0,RFA / Two-Way
Tristan Vukcevic,C,22.8,3,WAS,$0,RFA / Two-Way
Alijah Martin,SG,24,1,TOR,$0,RFA / Two-Way
Moussa Cisse,F,23.2,1,DAL,$0,RFA / Two-Way
Isaiah Stevens,PG,25.2,2,SAC,$0,RFA / Two-Way
Quenton Jackson,G,27.2,4,IND,$0,RFA / Two-Way
Isaiah Livers,SF,27.4,3,PHX,$0,RFA / Two-Way
Koby Brea,G,23.1,1,PHX,$0,RFA / Two-Way
Jamir Watkins,G,24.4,1,WAS,$0,RFA / Two-Way
Jabari Walker,SF,23.4,4,PHI,$0,RFA / Two-Way
Lachlan Olbrich,C,22,1,LAL,$0,RFA / Two-Way
Spencer Jones,SF,24.5,2,DEN,$0,RFA / Two-Way
Hunter Dickinson,COA,25.1,1,NOP,$0,RFA / Two-Way
Trey Alexander,SG,22.7,2,NOP,$0,RFA / Two-Way
Miles Kelly,F,22.9,1,DAL,$0,RFA / Two-Way
Mark Sears,G,23.8,1,MIL,$0,RFA / Two-Way
Ryan Nembhard,PG,22.8,1,DAL,$0,RFA / Two-Way
Brooks Barnhizer,SF,23.8,1,OKC,$0,RFA / Two-Way
Tyson Etienne,G,26.2,1,BKN,$0,RFA / Two-Way
Vladislav Goldin,C,24.6,1,MIA,$0,RFA / Two-Way
Luke Travers,SG,24.2,2,CLE,$0,RFA / Two-Way
Tamar Bates,G,22.8,1,DEN,$0,RFA / Two-Way
Chucky Hepburn,G,22.8,1,TOR,$0,RFA / Two-Way
Caleb Love,G,24.2,1,POR,$0,RFA / Two-Way
Emanuel Miller,SF,25.5,2,CHI,$0,RFA / Two-Way
Nae'qwan Tomlin,F,25,2,CLE,$0,RFA / Two-Way
Pete Nance,PF,25.8,3,MIL,$0,RFA / Two-Way
Sidy Cissoko,SG,21.8,3,WAS,$0,RFA / Two-Way
Jackson Rowe,F,28.9,2,GSW,$0,RFA / Two-Way
Tolu Smith III,F,25.4,2,DET,$0,RFA / Two-Way
Elijah Harkless,PG,25.8,2,UTA,$0,RFA / Two-Way
K.J. Simpson,PG,23.3,2,CHA,$0,RFA / Two-Way