Player,Free_Agent_Class_Rank,Current_Team,AAV,Ideal_Destination,Fit_Score,Reasoning,Archetypes
Kyrie Irving,N/A,DAL,"$39,491,282",DAL,1,Incumbent,"Elite Iso, Elite Usage, High Playmaking | High High Difficulty, Versatile, Steals"
Myles Turner,N/A,MIL,"$27,217,121",MIL,4,"Defensive Need, Incumbent","Elite Post Up, High Roll Man, High Usage | Anchor Big / Rim Protector"
Fred VanVleet,N/A,HOU,"$25,000,000",HOU,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High High Difficulty, Versatile, Steals"
Josh Giddey,N/A,CHI,"$25,000,000",CHI,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Jonathan Kuminga,N/A,GSW,"$23,400,000",GSW,4,"Defensive Need, Incumbent","P&R Handler, Transition, Spot Up | Versatile"
Santi Aldama,N/A,MEM,"$17,500,001",MEM,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Duncan Robinson,N/A,DET,"$15,992,957",DET,4,"Defensive Need, Incumbent","Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Nickeil Alexander-Walker,N/A,ATL,"$15,161,800",ATL,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Dennis Schröder,N/A,SAC,"$14,809,200",SAC,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High High Difficulty, Versatile, Steals"
Bobby Portis,N/A,MIL,"$14,521,414",MIL,1,Incumbent,"Elite Post Up, High Roll Man, High Usage | Guards C (High Rebounding)"
Caris LeVert,N/A,DET,"$14,456,600",DET,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Dorian Finney-Smith,N/A,HOU,"$13,176,250",HOU,1,Incumbent,"High Spot Up, Transition | High High Difficulty, Versatile, Steals"
Davion Mitchell,N/A,MIA,"$12,000,000",MIA,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Luke Kennard,N/A,ATL,"$11,000,000",ATL,1,Incumbent,"Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Luke Kornet,N/A,SAS,"$10,175,000",SAS,1,Incumbent,"Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Sam Merrill,N/A,CLE,"$9,500,000",CLE,1,Incumbent,"Elite Off-Screen, Spot Up, Transition | High High Difficulty, Versatile, Steals"
Ty Jerome,N/A,MEM,"$9,220,050",MEM,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Brook Lopez,N/A,LAC,"$8,968,750",LAC,1,Incumbent,"Elite Post Up, High Roll Man, High Usage | Anchor Big / Rim Protector"
Quentin Grimes,N/A,PHI,"$8,741,209",PHI,1,Incumbent,"P&R Handler, Transition, Spot Up | High High Difficulty, Versatile, Steals"
Kevon Looney,N/A,NOP,"$8,000,000",NOP,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Tre Jones,N/A,CHI,"$8,000,000",CHI,1,Incumbent,"P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Tre Mann,N/A,CHA,"$8,000,000",CHA,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | Guards SF ()"
Clint Capela,N/A,HOU,"$7,035,000",HOU,1,Incumbent,"Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Tyus Jones,N/A,ORL,"$7,000,000",ORL,1,Incumbent,"P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Ziaire Williams,N/A,BKN,"$6,250,000",BKN,1,Incumbent,"High Spot Up, Transition | High Steals, Versatile, Disruptor"
Day'Ron Sharpe,N/A,BKN,"$6,250,000",BKN,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Jake LaRavia,N/A,LAL,"$6,000,000",LAL,1,Incumbent,"High Spot Up, Transition | High Steals, Versatile, Disruptor"
D'Angelo Russell,N/A,DAL,"$5,827,125",DAL,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | Guards PG (High Disruptor)"
Al Horford,N/A,GSW,"$5,827,125",GSW,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Nicolas Batum,N/A,LAC,"$5,741,640",LAC,1,Incumbent,"High Spot Up, Transition | High Steals, Versatile, Disruptor"
Guerschon Yabusele,N/A,NYK,"$5,637,500",NYK,1,Incumbent,"Elite Post Up, High Roll Man, High Usage | Guards C (High Rebounding)"
Kevin Porter Jr.,N/A,MIL,"$5,262,350",MIL,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Moritz Wagner,N/A,ORL,"$5,000,000",UTA,3,Defensive Need,"Elite Post Up, High Roll Man, High Usage | Guards C (High Rebounding)"
Ryan Rollins,N/A,MIL,"$4,000,000",CHA,3,Defensive Need,"P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Gary Trent Jr.,N/A,MIL,"$3,789,533",MIL,1,Incumbent,"High Spot Up, Transition | High High Difficulty, Versatile, Steals"
Gary Harris,N/A,MIL,"$3,725,007",CHA,3,Defensive Need,"Elite Off-Screen, Spot Up, Transition | Guards PG (High Disruptor)"
Bismack Biyombo,N/A,SAS,"$3,634,153",DET,3,Defensive Need,Balanced / Low Usage Role | Anchor Big / Rim Protector
Russell Westbrook,N/A,SAC,"$3,634,153",SAC,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Spencer Dinwiddie,N/A,CHA,"$3,634,153",DET,3,Defensive Need,"Elite Iso, Elite Usage, High Playmaking | Guards SF ()"
Seth Curry,N/A,GSW,"$3,634,153",DET,3,Defensive Need,"Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Cameron Payne,N/A,IND,"$3,634,153",CHA,3,Defensive Need,"Elite P&R Handler, High Playmaking, High Usage | Guards PG (High Disruptor)"
Kyle Lowry,N/A,PHI,"$3,634,153",PHI,4,"Defensive Need, Incumbent","P&R Handler, Transition, Spot Up | Guards SF ()"
Delon Wright,N/A,IND,"$3,634,153",CHA,3,Defensive Need,Balanced / Low Usage Role | Guards PG (High Disruptor)
Mason Plumlee,N/A,CHA,"$3,634,153",CHA,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Eric Gordon,N/A,PHI,"$3,634,153",PHI,4,"Defensive Need, Incumbent","High Spot Up, Transition | Guards SF ()"
Chris Paul,N/A,LAC,"$3,634,153",LAC,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Jeff Green,N/A,HOU,"$3,634,153",HOU,4,"Defensive Need, Incumbent","High Spot Up, Transition | Guards SF ()"
Tim Hardaway Jr.,N/A,DEN,"$3,634,153",DEN,4,"Defensive Need, Incumbent","Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Larry Nance Jr.,N/A,CLE,"$3,634,153",UTA,3,Defensive Need,"Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Taurean Prince,N/A,MIL,"$3,559,818",MIL,1,Incumbent,"High Spot Up, Transition | High Steals, Versatile, Disruptor"
Jaxson Hayes,N/A,LAL,"$3,449,323",LAL,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Gary Payton II,N/A,GSW,"$3,303,774",GSW,1,Incumbent,"Elite Cutter, Elite Roll Man, Post Up | Point of Attack Stopper"
Malcolm Brogdon,N/A,NYK,"$3,303,774",NYK,4,"Defensive Need, Incumbent","Elite P&R Handler, High Playmaking, High Usage | Guards SF ()"
Thomas Bryant,N/A,CLE,"$3,287,409",CLE,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Chris Boucher,N/A,BOS,"$3,287,409",BOS,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Landry Shamet,N/A,NYK,"$3,080,921",NYK,4,"Defensive Need, Incumbent","Elite Off-Screen, Spot Up, Transition | Guards SF ()"
Aaron Holiday,N/A,HOU,"$3,080,921",CHA,3,Defensive Need,"P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Javonte Green,N/A,DET,"$2,874,436",DET,1,Incumbent,"High Spot Up, Transition | High Steals, Versatile, Disruptor"
Amir Coffey,N/A,MIL,"$2,874,436",MIL,4,"Defensive Need, Incumbent","High Spot Up, Transition | Guards SF ()"
Precious Achiuwa,N/A,MIA,"$2,667,947",UTA,3,Defensive Need,"Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Dru Smith,N/A,MIA,"$2,632,717",MIA,4,"Defensive Need, Incumbent","P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Sandro Mamukelashvili,N/A,TOR,"$2,631,405",TOR,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Trendon Watford,N/A,PHI,"$2,631,405",PHI,4,"Defensive Need, Incumbent","Elite P&R Handler, High Playmaking, High Usage | Versatile"
Jericho Sims,N/A,MIL,"$2,631,405",UTA,3,Defensive Need,"Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Cam Spencer,N/A,MEM,"$2,599,130",MEM,4,"Defensive Need, Incumbent","High Spot Up, Transition | Guards SF ()"
Jared Butler,N/A,PHX,"$2,461,463",PHX,4,"Defensive Need, Incumbent","Elite P&R Handler, High Playmaking, High Usage | Guards PG (High Disruptor)"
Kessler Edwards,N/A,DEN,"$2,461,463",DEN,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Micah Potter,N/A,SAS,"$2,461,463",SAS,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Charles Bassey,N/A,ATL,"$2,461,463",ATL,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Anchor Big / Rim Protector"
Jeremiah Robinson-Earl,N/A,DAL,"$2,461,463",DAL,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Lindy Waters III,N/A,SAS,"$2,461,463",CHA,3,Defensive Need,"Elite Off-Screen, Spot Up, Transition | Guards PG (High Disruptor)"
Dalano Banton,N/A,DAL,"$2,461,463",DAL,1,Incumbent,"Elite P&R Handler, High Playmaking, High Usage | High Steals, Versatile, Disruptor"
Wendell Moore Jr.,N/A,BOS,"$2,378,870",DET,3,Defensive Need,"P&R Handler, Transition, Spot Up | Guards SF ()"
Collin Gillespie,N/A,PHX,"$2,378,870",PHX,4,"Defensive Need, Incumbent","P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Justin Edwards,N/A,PHI,"$2,358,779",PHI,1,Incumbent,"High Spot Up, Transition | High High Difficulty, Versatile, Steals"
Oscar Tshiebwe,N/A,UTA,$0,UTA,4,"Defensive Need, Incumbent","Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Keaton Wallace,N/A,ATL,$0,CHA,3,Defensive Need,"P&R Handler, Transition, Spot Up | Guards PG (High Disruptor)"
Jamal Cain,N/A,ORL,$0,,2,Cap Space Fit,"High Spot Up, Transition | High Steals, Versatile, Disruptor"
Tristan Vukcevic,N/A,WAS,$0,UTA,3,Defensive Need,"Elite Cutter, Elite Roll Man, Post Up | Guards C (High Rebounding)"
Jabari Walker,N/A,PHI,$0,PHI,4,"Defensive Need, Incumbent","High Spot Up, Transition | Versatile"
Caleb Houstan,N/A,ATL,$0,DET,3,Defensive Need,"Elite Off-Screen, Spot Up, Transition | Guards SF ()"
