Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04,Live_AAV_2026-01-05
Johnny Juzang,270102.0637838067,UFA / Two-Way,MIN,2088653.0052171457,1875639.5082886964
Jonas Valančiūnas,,,,,4148961.573156259
Jonathan Isaac,,,,,1037174.8382656954
Jonathan Kuminga,13236330.24988504,CLUB / $24.3M,GSW,4410200.896281318,4410200.896281318
Jonathan Mogbo,218753.5412166787,CLUB / $2.3M,TOR,1693843.0949826364,1693843.0949826364
Jordan Clarkson,7450154.673240143,UFA / Non-Bird,NYK,7286685.645522526,7228552.050357858
Jordan Goodwin,3026887.414894128,UFA / Early Bird,PHX,6427021.861199263,7025497.686357395
Jordan Hawkins,,,,,632070.6793896417
Jordan McLaughlin,541271.2448387374,UFA / Early Bird,SAS,1767389.437515319,1767389.437515319
Jordan Miller,316189.7593703801,RFA / Two-Way,LAC,1938167.1910635664,1706812.1541724207
Jordan Poole,,,,,5572347.4626882225
Jordan Walsh,-1116917.4435317034,CLUB / $2.4M,BOS,4957140.920473929,5658395.944565574
Jose Alvarado,5022731.6327132685,PLAYER / $4.5M,NOP,3891070.088696663,4010817.793374238
Josh Giddey,,,,,13025143.907006286
Josh Green,,,,,3127692.1604907024
Josh Hart,,,,,9930539.081851805
Josh Minott,-613097.8824853421,CLUB / $2.6M,BOS,4345006.030859045,4238720.55775691
Josh Okogie,3995626.7938506817,UFA / Non-Bird,HOU,4824040.021677257,4630715.330342556
Jrue Holiday,,,,,6390210.970366765
Julian Champagnie,10002592.584611531,CLUB / $3.0M,SAS,10176276.777209347,10432481.91762333
Julian Phillips,1947104.14462942,CLUB / $2.4M,CHI,2004927.4816604848,1617726.7858852632
Julian Strawther,,,,,1491353.6128254717
Julius Randle,,,,,20360607.902671542
Justin Champagnie,,,,,1278305.7200187275
Justin Edwards,,,,,678004.0468718379
Jusuf Nurkić,,,,,4429166.07153931
KJ Simpson,,,,,2239849.494995274
Kam Jones,,,,,2877101.5105325608
Karl-Anthony Towns,,,,,18962158.887538753
Karlo Matković,,,,,1619353.638696161
Kasparas Jakučionis,,,,,2597375.5805863133
Kawhi Leonard,,,,,15457524.16342912
Keaton Wallace,2658719.725009807,RFA / Non-Bird,ATL,1058243.9723883905,907059.8595815548
Keegan Murray,,,,,4357607.5304516805
Kel'el Ware,,,,,8363420.5030016815
Keldon Johnson,,,,,10428706.660884827
Kelly Olynyk,5581529.395827566,UFA / Bird,SAS,3468157.0141186905,3425354.454210223
Kelly Oubre Jr.,10925322.134780155,UFA / Bird,PHI,5886925.018620096,5886925.018620096
Kenrich Williams,11266073.455882875,CLUB / $7.2M,OKC,3886982.13982423,3826145.409547372
Kentavious Caldwell-Pope,8998019.673694687,PLAYER / $21.6M,MEM,5310115.392313096,5065398.969673623
Keon Ellis,9875679.663022382,UFA / Bird,SAC,-624024.6586898952,-939504.2645995218
Keshad Johnson,1941392.453258136,RFA / Early Bird,MIA,2483633.0660824995,2483633.0660824995
Kevin Durant,,,,,21596886.31776117
Kevin Huerter,12108029.76904727,UFA / Bird,CHI,6711576.568039797,6853216.454565669
Kevin Love,2178465.3848194564,UFA / Bird,UTA,2135869.415688985,2106127.326206879
Kevin McCullar Jr.,2548842.18076685,RFA / Two-Way,NYK,2231197.518709359,2018114.185903601
Kevin Porter Jr.,12190819.467398437,PLAYER / $5.4M,MIL,7561116.276324058,8376678.990699701
Kevon Looney,5352808.437257096,CLUB / $8.0M,NOP,1189107.073880441,1194763.7847110475
Keyonte George,,,,,14100528.639626281
Khaman Maluach,,,,,1094763.5187022702
Khris Middleton,9361846.51722306,UFA / Bird,WAS,3565274.1439516395,3538192.9178817905
Klay Thompson,,,,,5604151.677390325
Kobe Brown,,,,,134555.72918328055
Kobe Sanders,,,,,3439697.1664888393
Koby Brea,,,,,2388068.170201649
Kon Knueppel,,,,,12887585.322899923
Kris Dunn,,,,,3671770.258537057
Kris Murray,,,,,1920398.6184928587
Kristaps Porziņģis,,,,,7992326.850345281
Kyle Anderson,,,,,2819515.5585407997
Kyle Filipowski,,,,,4958154.791238786
Kyle Kuzma,,,,,7076473.621808922
Kyle Lowry,798393.6698725001,UFA / Early Bird,PHI,2836465.4570552646,2836465.4570552646
Kyshawn George,,,,,4869384.931291248
LaMelo Ball,,,,,11386002.372277744
Lachlan Olbrich,,,,,2347524.770265118
Landry Shamet,4547034.103489349,UFA / Bird,NYK,4149641.12867297,4149641.12867297
Larry Nance Jr.,2747176.5372158964,UFA / Non-Bird,CLE,1883584.757109531,1883584.757109531
Lauri Markkanen,,,,,16461661.800141672
LeBron James,33908336.95072145,UFA / Bird,LAL,7594622.66389352,8220649.895007676
Leonard Miller,1121928.3478570734,CLUB / $2.4M,MIN,1913814.6447387,1644484.4801104097
Liam McNeeley,,,,,2544575.900512167
Lindy Waters III,2535122.8882548525,UFA / Non-Bird,SAS,1805145.9038984128,1718533.698400289
Lonzo Ball,7207513.935525333,CLUB / $10.0M,CLE,4648185.333864808,4175080.3801491386
Luguentz Dort,22027712.16970931,CLUB / $18.2M,OKC,9030962.054680288,9079869.992292317
Luka Dončić,,,,,20441411.793880012
Luka Garza,,,,,5121936.9815941965
Luke Kennard,10982400.481800493,UFA / Non-Bird,ATL,4453037.448058746,4453037.448058746
Luke Kornet,,,,,7260618.569555487
Luke Travers,1692433.8435794837,RFA / Two-Way,CLE,1362732.0787500597,1362732.0787500597
Mac McClung,,,,,2429526.3982423563
Malaki Branham,1172400.9731252668,RFA / Bird,WAS,651687.6411444078,836423.3851066396
Malik Monk,,,,,4271904.961538554
Marcus Sasser,,,,,2994924.3560552136
Marcus Smart,6539617.260342635,PLAYER / $5.4M,LAL,6394287.33142083,6494442.601680955
Mark Sears,,,,,2108955.5380394356
Mark Williams,7661073.350325057,RFA / Bird,PHX,9085044.8897213,8939757.466341006
Marvin Bagley III,1758160.862658167,UFA / Non-Bird,WAS,5556595.668140315,5095852.050572288
Mason Plumlee,4322709.29933044,UFA / Non-Bird,CHA,2155302.929393475,2155302.929393475
Matas Buzelis,,,,,8621313.929227555
Matisse Thybulle,3746123.831970582,UFA / Bird,POR,3380305.90248735,3380305.90248735
Max Christie,,,,,6038606.106572495
Maxi Kleber,1179270.232499463,UFA / Bird,LAL,2771262.4265108444,2771262.4265108444
Maxime Raynaud,,,,,2241472.201881293
Micah Peavy,,,,,568265.0450610775
Micah Potter,215250.5166658752,CLUB / $2.8M,IND,3683044.0190396584,3617695.0620061266
Michael Porter Jr.,,,,,15212873.206846857
Mikal Bridges,,,,,15298685.471881164
Mike Conley,13959423.941483166,UFA / Bird,MIN,3247025.2989165913,3425346.346865442
Miles Bridges,,,,,11652674.059792085
Miles Kelly,,,,,2759302.3504779316
Miles McBride,,,,,9985393.299984625
Mitchell Robinson,3657987.171676057,UFA / Bird,NYK,4506994.645295455,4226769.782852267
Mo Bamba,,,,,2506982.556677289
Mohamed Diawara,,,,,-123020.78086248718
Monte Morris,,,,,1962052.25461576
Moritz Wagner,7292870.235804227,UFA / Bird,ORL,,
Moses Moody,,,,,8650733.468765566
Mouhamed Gueye,5426926.79787054,CLUB / $2.4M,ATL,3194829.687998736,3032113.7088356726
Moussa Cisse,,,,,1589342.011116301
Moussa Diabaté,,,,,5269751.3017422315
Myles Turner,,,,,9408827.937828992
Myron Gardner,,,,,1995684.7113079114
N'Faly Dante,2786226.448159243,RFA / Early Bird,ATL,2702677.808408023,2702677.808408023
Nae'Qwan Tomlin,,,,,4325505.309744036
Naji Marshall,,,,,6943154.194075621
Naz Reid,,,,,11979464.908534456
Neemias Queta,,,,,10160335.17627627
Nic Claxton,,,,,6834793.175561212
Nick Richards,4168131.1641874113,UFA / Bird,PHX,448377.02601273195,448377.02601273195
Nick Smith Jr.,530756.1234288737,RFA / Two-Way,LAL,3530817.215702055,3311882.1158852675
Nickeil Alexander-Walker,,,,,14462217.7701927
Nicolas Batum,4174359.98791077,CLUB / $5.9M,LAC,2433547.151065394,2207044.3472684836
Nigel Hayes-Davis,,,,,-591811.6813230923
Nikola Jokić,,,,,28121902.875853922
Nikola Jović,,,,,6835948.373418848
Nikola Vučević,,,,,10143036.611655312
Nique Clifford,,,,,949780.319188925
Noa Essengue,,,,,2169370.460702659
Noah Clowney,,,,,7861779.736799492
Noah Penda,,,,,2391816.72825488
Nolan Traore,,,,,1814934.8192871022
Norman Powell,30839272.835041,UFA / Bird,MIA,16204875.94464574,17486552.70258666
OG Anunoby,,,,,11538552.041486531
Obi Toppin,,,,,3040503.599912687
Ochai Agbaji,5896696.494944755,RFA / Bird,TOR,2225045.359195475,1995427.7002962257
Olivier-Maxence Prosper,-1110138.246014492,RFA / Two-Way,MEM,1198412.65579403,1198412.65579403
Onyeka Okongwu,,,,,9879272.43735871
Orlando Robinson,3024804.272031708,UFA / Non-Bird,ORL,2472430.540120455,2472430.540120456
Oscar Tshiebwe,3557872.494792973,RFA / Two-Way,UTA,2840595.184565928,2840595.1845659274
Oso Ighodaro,,,,,5422000.793871993
Ousmane Dieng,2461924.4058080893,RFA / Bird,OKC,2830908.8894850016,2830908.8894850016
P.J. Washington,,,,,7251891.452290579
PJ Hall,,,,,2257853.8496792554
Pacôme Dadiet,,,,,1496324.32513341
Paolo Banchero,,,,,11854413.066933855
Pascal Siakam,,,,,13984633.966218218
Pat Connaughton,2686576.783079779,UFA / Bird,CHA,2276202.952550849,2276202.952550849
Pat Spencer,-197420.79368417055,RFA / Two-Way,GSW,3505814.277160874,3519956.0542373913
Patrick Williams,,,,,716030.6051017942
Paul George,,,,,8090050.201219433
Paul Reed,,,,,3949040.2285371944
Payton Pritchard,,,,,14975117.022962404
Pelle Larsson,1963958.1295778065,CLUB / $2.3M,MIA,6046897.283468743,6754973.136205871
Pete Nance,1912716.2363411048,RFA / Two-Way,MIL,2310280.6975111933,2310280.6975111943
Peyton Watson,7366233.076475991,RFA / Bird,DEN,10913253.924336074,11092373.63095738
Precious Achiuwa,4289471.762280604,UFA / Non-Bird,SAC,1564397.8252584003,1260341.3233233604
Quentin Grimes,13209406.457697691,UFA / Bird,PHI,10115523.135269152,10353860.05643027
Quenton Jackson,3052617.7257570727,RFA / Two-Way,IND,3725340.909252739,3728169.264668043
Quinten Post,6295386.408713335,RFA / Early Bird,GSW,7128140.62142626,7622837.364452551
RJ Barrett,,,,,9742011.00317512
Rasheer Fleming,,,,,1188616.0496814034
RayJ Dennis,2910830.369148578,RFA / Two-Way,ATL,1469948.8422745282,1469948.8422745282
Rayan Rupert,-2012816.5701331208,RFA / Bird,POR,296140.9382205813,307190.9695639667
Reed Sheppard,,,,,12711606.512894845
Riley Minix,,,,,2716919.872419362
Rob Dillingham,,,,,917500.657534305
Robert Williams III,3284630.9236671696,UFA / Bird,POR,2440268.3222403433,2448753.3884862536
Ron Harper Jr.,2658686.0416907324,UFA / Two-Way,BOS,2700475.9573618714,2700475.957361871
Ronald Holland II,,,,,7098232.981252053
Royce O'Neale,,,,,6588299.822504991
Rudy Gobert,,,,,12891236.481494574
Rui Hachimura,16438972.112468272,UFA / Bird,LAL,7233167.085503997,7233167.085503997
Russell Westbrook,17659915.615721624,UFA / Non-Bird,SAC,5832404.071808859,5981495.753097491
Ryan Dunn,,,,,5121071.353186531
Ryan Kalkbrenner,,,,,3455375.770995635
Ryan Nembhard,,,,,3577806.9663227545
Ryan Rollins,,,,,13167372.226954171
Saddiq Bey,,,,,7274351.744054734
Sam Hauser,,,,,6248693.111528613
Sam Merrill,,,,,7231125.442478385
Sandro Mamukelashvili,3380465.2734468225,PLAYER / $2.8M,TOR,8124875.507497455,8945546.418838723
Santi Aldama,,,,,9343867.34494302
Scottie Barnes,,,,,16710650.868173601
Seth Curry,637246.3286213991,UFA / Non-Bird,GSW,3145129.5894899354,3145129.589489936
Shaedon Sharpe,,,,,12356130.238970594
Shai Gilgeous-Alexander,,,,,32221220.903243255
Sharife Cooper,,,,,2184384.137374233
Sidy Cissoko,970845.6745981288,RFA / Two-Way,WAS,2659535.482555494,2782504.2861097264
Simone Fontecchio,4029827.826269613,UFA / Bird,MIA,5282391.33670993,4777922.484665188
Sion James,,,,,2364173.030639934
Spencer Jones,66739.58799511802,RFA / Two-Way,DEN,5074885.235601051,4789200.429676453
Stephen Curry,,,,,16686203.437149515
Stephon Castle,,,,,12388353.34657765
Steven Adams,,,,,7694246.847734594
Svi Mykhailiuk,,,,,4125246.44323375
T.J. McConnell,,,,,4255114.66506166
Taelon Peter,,,,,747597.0949953934
Tari Eason,14962537.14765564,RFA / Bird,HOU,6880170.399848575,7389314.578376914
Taurean Prince,7920847.333557354,PLAYER / $3.8M,MIL,3328382.547513746,3328382.547513746
Taylor Hendricks,,,,,1281940.7406031536
Terance Mann,,,,,3657342.5725881774
Terrence Shannon Jr.,,,,,588849.171300923
Terry Rozier,7740384.990530365,UFA / Bird,MIA,,
Thanasis Antetokounmpo,,,,,2099420.8969876533
Thomas Bryant,4077952.273149543,UFA / Non-Bird,CLE,1949194.301836189,1759320.2800771056
Tidjane Salaün,,,,,4552513.287982647
Tim Hardaway Jr.,12490608.45566422,UFA / Non-Bird,DEN,10056239.269705584,10683140.012325075
Tobias Harris,21195690.13674371,UFA / Early Bird,DET,7324586.706273089,7324586.706273089
Tolu Smith,,,,,2799193.61864007
Tony Bradley,3383323.9537875024,UFA / Early Bird,IND,-8493.51762680264,-96411.68708922074
Tosan Evbuomwan,4215739.900320175,RFA / Two-Way,NYK,2324616.763185059,2324616.763185059
Toumani Camara,,,,,7574801.911909873
Trae Young,38155799.00505996,PLAYER / $49.0M,ATL,5101372.811010609,5101372.811010609
Trayce Jackson-Davis,4135635.573503624,CLUB / $2.4M,GSW,2051988.1408631315,2324949.144736702
Tre Johnson,,,,,4953994.095021985
Tre Jones,,,,,6390740.186640226
Tre Mann,,,,,1818727.9795036856
Trendon Watford,6394210.242325726,CLUB / $2.8M,PHI,4400854.727957695,4400854.727957695
Trentyn Flowers,2060128.4194050329,RFA / Two-Way,CHI,2353126.2911028615,2353126.2911028615
Trey Alexander,-45830.61759897655,RFA / Two-Way,NOP,2972932.246280151,2801535.2247590222
Trey Jemison III,,,,,2347547.829532886
Trey Murphy III,,,,,10401456.505386723
Tristan Vukcevic,3292108.9674174446,RFA / Two-Way,WAS,679073.3959684676,853524.4544023536
Tristan da Silva,,,,,6304763.75209367
Tyler Herro,,,,,5208284.968326141
Tyler Kolek,,,,,3970994.159838923
Tyrese Martin,2254828.124899067,RFA / Early Bird,BKN,1683415.1825802634,1680586.8271649596
Tyrese Maxey,,,,,21844715.753491424
Tyrese Proctor,,,,,1235048.1729857912
Tyson Etienne,1693712.2989989822,RFA / Two-Way,BKN,2345576.101858042,2345576.101858042
Tyus Jones,11146425.06184984,UFA / Non-Bird,ORL,-177905.94134266983,7078.147424239408
VJ Edgecombe,,,,,11841795.461384138
Victor Wembanyama,,,,,15839119.689626504
Vince Williams Jr.,,,,,5689522.993054846
Vladislav Goldin,,,,,3266465.415613404
Vít Krejčí,,,,,6303930.699371071
Walker Kessler,6542879.782780704,RFA / Bird,UTA,4313735.250853197,4313735.250853197
Walter Clayton Jr.,,,,,2693494.743978329
Wendell Carter Jr.,,,,,10441401.95100426
Wendell Moore Jr.,-746141.2792374988,RFA / Two-Way,DET,3492726.114416915,3492726.114416915
Will Richard,,,,,4654467.194944112
Will Riley,,,,,768731.4786700062
Xavier Tillman,-671406.0454350983,UFA / Bird,BOS,1908944.955037564,1908944.9550375638
Yang Hansen,,,,,1106171.3052973943
Yanic Konan Niederhäuser,,,,,2625012.981251358
Yves Missi,,,,,2300116.077899705
Zaccharie Risacher,,,,,6641804.817423942
Zach Collins,4394076.940287633,UFA / Bird,CHI,4197801.458782527,4197801.458782527
Zach Edey,,,,,7441330.215047485
Zach LaVine,30769370.19703965,PLAYER / $49.0M,SAC,5711421.309810903,5918646.813664777
Zeke Nnaji,,,,,-328224.8094242342
Ziaire Williams,2880935.331170335,CLUB / $6.3M,BKN,1911805.2785900435,2037175.936916796
Zion Williamson,,,,,8531467.441170836
